Date, Open, High, Low, Close, Volume
09/11/20, 308.55, 309.59, 304.17, 306.98, 3690254
09/10/20, 314.05, 314.71, 305.82, 306.75, 3588984
09/09/20, 310.145, 314.66, 309.29, 312.21, 3339835
09/08/20, 309.35, 310.59, 305.85, 306.17, 4278260
09/04/20, 317.77, 319.60, 306.90, 314.82, 5133935
09/03/20, 327.01, 327.51, 314.81, 317.36, 6891967
09/02/20, 325.94, 329.67, 324.78, 328.74, 5273074
09/01/20, 321.81, 324.10, 320.94, 324.02, 3010783
08/31/20, 321.98, 322.83, 320.80, 321.02, 5067980
08/28/20, 321.14, 322.28, 319.95, 322.15, 3538745
08/27/20, 320.22, 321.5031, 318.4695, 320.07, 2295927
08/26/20, 316.75, 319.63, 316.25, 319.43, 2605983
08/25/20, 315.69, 316.26, 314.50, 316.20, 2890833
08/24/20, 314.355, 315.17, 313.37, 315.10, 2349556
08/21/20, 310.48, 312.10, 310.17, 311.93, 2316223
08/20/20, 308.11, 311.27, 308.02, 310.82, 2409269
08/19/20, 311.55, 312.28, 309.31, 309.84, 2498298
08/18/20, 310.93, 311.55, 309.28, 311.16, 2415819
08/17/20, 310.44, 310.87, 310.09, 310.51, 2183360
08/14/20, 309.15, 310.02, 308.34, 309.51, 2098031
08/13/20, 309.30, 310.78, 308.56, 309.51, 4074194
08/12/20, 308.25, 310.81, 308.20, 310.04, 2953661
08/11/20, 309.52, 310.1156, 305.07, 305.85, 3571230
08/10/20, 307.88, 308.50, 305.92, 308.34, 2118154
08/07/20, 306.23, 307.60, 305.3216, 307.36, 3319618
08/06/20, 304.58, 307.29, 304.25, 307.20, 4088158
08/05/20, 304.61, 305.40, 304.31, 305.15, 2620744
08/04/20, 301.22, 303.26, 301.22, 303.26, 2129215
08/03/20, 301.65, 302.8222, 301.13, 301.99, 3769021
07/31/20, 299.45, 300.10, 295.24, 300.10, 4460643
07/30/20, 295.74, 298.06, 293.67, 297.61, 2951740
07/29/20, 296.00, 299.26, 295.90, 298.70, 2370847
07/28/20, 296.18, 297.33, 294.79, 295.13, 3135561
07/27/20, 295.48, 297.12, 294.74, 296.97, 2253331
07/24/20, 294.86, 295.81, 293.30, 294.82, 2850971
07/23/20, 299.93, 300.62, 295.38, 296.74, 3487108
07/22/20, 298.22, 300.56, 298.11, 300.33, 4121139
07/21/20, 299.86, 300.35, 297.66, 298.63, 3310876
07/20/20, 295.33, 298.68, 294.60, 298.01, 2539891
07/17/20, 295.72, 296.35, 293.745, 295.55, 2245953
07/16/20, 293.80, 295.11, 293.15, 294.77, 3082869
07/15/20, 296.19, 296.7512, 293.35, 295.63, 6601428
07/14/20, 287.79, 293.32, 286.63, 293.03, 4053101
07/13/20, 294.10, 296.45, 288.61, 289.16, 3657909
07/10/20, 288.72, 292.01, 287.34, 291.80, 2712405
07/09/20, 291.02, 291.30, 285.41, 288.90, 3164606
07/08/20, 289.00, 290.55, 287.29, 290.38, 2434228
07/07/20, 289.67, 291.68, 287.8916, 288.24, 3420257
07/06/20, 290.67, 291.58, 289.90, 291.26, 3573810
07/02/20, 288.76, 290.05, 286.18, 286.81, 3661062
07/01/20, 284.37, 286.51, 283.95, 285.37, 3712553
06/30/20, 279.29, 284.95, 279.15, 283.43, 5215693
06/29/20, 276.89, 279.72, 274.72, 279.70, 3464598
06/26/20, 282.72, 282.92, 276.52, 277.11, 4479022
06/25/20, 280.26, 284.10, 278.2201, 283.76, 3897429
06/24/20, 286.08, 286.70, 278.97, 280.79, 4532344
06/23/20, 289.51, 290.43, 287.7601, 288.16, 2503556
06/22/20, 284.35, 287.1907, 283.26, 286.86, 2518008
06/19/20, 290.04, 290.27, 283.67, 284.97, 3479532
06/18/20, 284.97, 287.12, 284.545, 286.66, 2756256
06/17/20, 288.73, 289.02, 285.88, 286.40, 2662798
06/16/20, 290.05, 290.199, 282.83, 287.72, 5294952
06/15/20, 273.91, 283.35, 272.77, 282.20, 4431380
06/12/20, 283.35, 284.15, 274.50, 279.65, 6232184
06/11/20, 286.36, 294.50, 275.80, 276.32, 7748197
06/10/20, 295.53, 296.3934, 292.59, 293.22, 5602593
06/09/20, 294.49, 296.387, 293.6301, 295.06, 4686385
06/08/20, 294.43, 297.32, 293.88, 297.17, 5559680
06/05/20, 291.63, 295.38, 291.61, 293.61, 6015518
06/04/20, 286.00, 287.75, 284.20, 286.29, 3818618
06/03/20, 285.20, 287.93, 284.93, 287.02, 5568075
06/02/20, 281.79, 283.28, 280.46, 283.28, 4343902
06/01/20, 279.07, 281.49, 278.57, 280.97, 3907111
05/29/20, 278.03, 280.35, 275.36, 279.75, 7051402
05/28/20, 280.03, 282.04, 277.81, 278.50, 4634896
05/27/20, 277.78, 279.05, 272.86, 279.05, 5152385
05/26/20, 277.53, 277.735, 274.55, 275.04, 4911764
05/22/20, 270.76, 271.72, 269.50, 271.55, 2296370
05/21/20, 272.80, 273.59, 269.95, 270.94, 3581314
05/20/20, 271.92, 273.79, 271.69, 272.90, 4896239
05/19/20, 270.61, 272.25, 268.34, 268.52, 4921117
05/18/20, 269.32, 272.70, 269.06, 271.08, 6769161
05/15/20, 259.54, 263.11, 258.56, 263.04, 3386161
05/14/20, 256.33, 262.00, 253.97, 261.86, 7737588
05/13/20, 262.87, 263.90, 256.36, 258.74, 5617469
05/12/20, 269.98, 270.40, 263.33, 263.41, 5159857
05/11/20, 266.78, 270.20, 266.43, 268.82, 3469300
05/08/20, 267.53, 269.14, 266.38, 268.78, 3206956
05/07/20, 264.45, 266.30, 263.90, 264.36, 3410208
05/06/20, 264.71, 265.105, 261.14, 261.27, 3021415
05/05/20, 263.45, 265.81, 262.60, 263.04, 4437160
05/04/20, 257.92, 260.90, 256.53, 260.64, 4128909
